Distancia_Bala,Velocidad_Bala,Distancia_Bala2,Salto,Izquierda
396,-21,551,0,0
365,-21,533,0,0
334,-21,515,0,0
303,-21,497,0,0
272,-21,479,0,0
251,-21,461,0,0
230,-21,443,0,0
209,-21,425,0,0
188,-21,407,0,0
167,-21,389,0,0
146,-21,351,1,0
125,-21,316,1,0
104,-21,283,1,0
83,-21,253,1,0
62,-21,225,1,0
41,-21,200,1,0
20,-21,177,1,0
1,-21,157,1,0
22,-21,139,1,0
33,-21,124,1,1
44,-21,111,1,1
55,-21,101,1,1
1320,-21,93,0,1
1305,-25,88,0,1
1290,-25,85,0,1
1275,-25,85,0,1
1260,-25,83,0,1
1245,-25,65,0,1
1230,-25,47,0,1
1215,-25,29,0,1
1200,-25,11,0,1
1165,-25,7,0,1
1130,-25,25,0,1
1095,-25,43,0,1
1060,-25,61,0,1
1025,-25,79,0,1
990,-25,97,0,1
955,-25,115,0,1
920,-25,605,0,0
885,-25,587,0,0
850,-25,569,0,0
815,-25,551,0,0
780,-25,533,0,0
755,-25,515,0,0
730,-25,497,0,0
705,-25,479,0,0
680,-25,461,0,0
655,-25,443,0,0
630,-25,425,0,0
605,-25,407,0,0
580,-25,389,0,0
555,-25,371,0,0
530,-25,353,0,0
505,-25,335,0,0
480,-25,317,0,0
455,-25,299,0,0
430,-25,281,0,0
405,-25,263,0,0
380,-25,245,0,0
365,-25,227,0,1
350,-25,209,0,1
335,-25,191,0,1
320,-25,173,0,1
305,-25,155,0,1
290,-25,137,0,1
275,-25,119,0,1
260,-25,101,0,1
245,-25,83,0,1
230,-25,65,0,1
215,-25,47,0,1
200,-25,9,1,1
170,-25,26,1,1
140,-25,59,1,1
110,-25,89,1,1
80,-25,117,1,1
50,-25,142,1,1
20,-25,165,1,1
1365,-25,185,0,1
1338,-22,203,0,1
1311,-22,520,0,0
1284,-22,507,0,0
1257,-22,497,0,0
1230,-22,489,0,0
1203,-22,484,0,0
1176,-22,481,0,0
1149,-22,481,0,0
1117,-22,479,0,0
1085,-22,461,0,0
1053,-22,443,0,0
1021,-22,425,0,0
994,-22,407,0,0
972,-22,389,0,0
950,-22,371,0,0
928,-22,353,0,0
906,-22,335,0,0
884,-22,317,0,0
862,-22,299,0,0
840,-22,281,0,0
818,-22,263,0,0
796,-22,245,0,0
774,-22,227,0,0
752,-22,209,0,0
730,-22,191,0,0
708,-22,173,0,0
696,-22,155,0,1
684,-22,137,0,1
672,-22,119,0,1
660,-22,101,0,1
648,-22,83,0,1
636,-22,65,0,1
624,-22,47,0,1
612,-22,29,0,1
600,-22,11,0,1
588,-22,7,0,1
576,-22,25,0,1
564,-22,43,0,1
532,-22,61,0,1
500,-22,79,0,1
468,-22,97,0,1
436,-22,115,0,1
404,-22,605,0,0
372,-22,587,0,0
340,-22,569,0,0
308,-22,551,0,0
276,-22,533,0,0
244,-22,515,0,0
212,-22,497,0,0
180,-22,479,0,0
158,-22,461,0,0
136,-22,423,1,0
114,-22,388,1,0
92,-22,355,1,0
70,-22,325,1,0
48,-22,297,1,0
26,-22,272,1,0
4,-22,249,1,0
18,-22,229,1,0
40,-22,211,1,0
62,-22,196,1,0
84,-22,183,1,0
1280,-22,173,0,0
1260,-20,165,0,0
1240,-20,160,0,0
1230,-20,157,0,1
1220,-20,157,0,1
1210,-20,155,0,1
1200,-20,137,0,1
1190,-20,119,0,1
1180,-20,101,0,1
1170,-20,83,0,1
1160,-20,65,0,1
1150,-20,47,0,1
1140,-20,29,0,1
1130,-20,11,0,1
1120,-20,7,0,1
1090,-20,25,0,1
1060,-20,43,0,1
1030,-20,61,0,1
1000,-20,79,0,1
970,-20,97,0,1
940,-20,115,0,1
910,-20,605,0,0
880,-20,587,0,0
850,-20,569,0,0
820,-20,551,0,0
790,-20,533,0,0
760,-20,515,0,0
740,-20,497,0,0
720,-20,479,0,0
700,-20,461,0,0
680,-20,443,0,0
660,-20,425,0,0
640,-20,407,0,0
620,-20,389,0,0
600,-20,371,0,0
580,-20,353,0,0
560,-20,335,0,0
540,-20,317,0,0
520,-20,299,0,0
500,-20,281,0,0
480,-20,263,0,0
460,-20,245,0,0
440,-20,227,0,0
430,-20,209,0,1
420,-20,191,0,1
410,-20,173,0,1
400,-20,155,0,1
390,-20,137,0,1
380,-20,119,0,1
370,-20,101,0,1
360,-20,83,0,1
350,-20,65,0,1
340,-20,47,0,1
